시약이름,CAS NO,제조사 이름,Product Code
Lactic Acid solution,50-21-5,Sigma Aldrich,252476
Lactic Acid,50-21-5,Sigma Aldrich,PHR1215
Lactic Acid,50-21-5,Sigma Aldrich,W261114
Lactic Acid,50-21-5,Sigma Aldrich,L6661
Lactic Acid,50-21-5,Sigma Aldrich,W261106
Lactic Acid,50-21-5,Sigma Aldrich,L1250
Lactic Acid,50-21-5,Sigma Aldrich,69785
Zinc chloride,7646-85-7,Sigma Aldrich,Z0152
Zinc chloride,7646-85-7,Sigma Aldrich,208086
Zinc chloride,7646-85-7,Sigma Aldrich,14422
Zinc chloride,7646-85-7,Sigma Aldrich,31650
Zinc chloride,7646-85-7,Sigma Aldrich,429430
Zinc chloride,7646-85-7,Sigma Aldrich,456845
Zinc chloride,7646-85-7,Sigma Aldrich,450111
Zinc chloride,7646-85-7,Sigma Aldrich,793523
Zinc chloride,7646-85-7,Sigma Aldrich,746355
Zinc chloride,7646-85-7,Sigma Aldrich,229997
Benzene solution,71-43-2,Sigma Aldrich,611980
Benzene,71-43-2,Sigma Aldrich,156302
Benzene,71-43-2,Sigma Aldrich,319953
Benzene,71-43-2,Sigma Aldrich,32212
Benzene,71-43-2,Sigma Aldrich,401765
Benzene,71-43-2,Sigma Aldrich,12540
Benzene,71-43-2,Sigma Aldrich,270709
Guanidine hydrochloride solution,1950-01-01,Sigma Aldrich,50937
Guanidine hydrochloride solution,1950-01-01,Sigma Aldrich,G9284
Guanidine hydrochloride,1950-01-01,Sigma Aldrich,50950
Guanidine hydrochloride,1950-01-01,Sigma Aldrich,50940
Guanidine hydrochloride,1950-01-01,Sigma Aldrich,G7153
Guanidine hydrochloride,1950-01-01,Sigma Aldrich,G3272
Guanidine hydrochloride,1950-01-01,Sigma Aldrich,50933
Guanidine hydrochloride,1950-01-01,Sigma Aldrich,PG0006
Guanidine hydrochloride,1950-01-01,Sigma Aldrich,G4505
Pyrene,129-00-0,Sigma Aldrich,48570
